Disaster Type,Magnitude,Magnitude Scale,Minimum Temperature,Maximum Temperature,Dew Point,Temperature,Wind Speed Min,Wind Speed Max,Wind Speed Mean,Wind Direction,Relative Humidity Min,Relative Humidity Max,Relative Humidity Mean,Weather Type,Precipitation,Cloud Cover,Sea Level Pressure,Precipitation Cover
Storm,230.0,Kph,62.7,75.3,65.1,68.1,1.1,19.5,11.9,308.75,70.84,100.0,90.56,"Precipitation In Vicinity, Rain, Light Rain, Sky Coverage Decreasing, Sky Unchanged",0.43,89.4,1014.4,12.5
Storm,230.0,Kph,62.9,77.1,64.9,68.0,2.2,17.2,10.0,305.59,73.81,100.0,90.67,"Precipitation In Vicinity, Rain, Sky Coverage Increasing, Sky Unchanged",0.28,88.1,1017.0,4.35
Storm,230.0,Kph,62.7,80.7,64.5,69.8,2.2,13.9,7.4,283.55,53.74,100.0,85.1,"Lightning Without Thunder, Precipitation In Vicinity",0.0,86.8,1018.7,0.0
Storm,230.0,Kph,62.7,82.5,64.3,70.6,1.1,13.9,5.5,94.6,50.17,100.0,82.41,"Lightning Without Thunder, Thunderstorm Without Precipitation",0.0,66.7,1019.4,0.0
Storm,230.0,Kph,62.3,82.5,65.2,71.5,0.0,16.1,6.5,89.56,55.91,100.0,82.07,"Lightning Without Thunder, Thunderstorm Without Precipitation",0.0,71.4,1020.1,0.0
Storm,230.0,Kph,64.5,84.3,65.3,71.4,1.1,15.0,7.3,120.91,52.8,100.0,82.48,Thunderstorm Without Precipitation,0.0,85.0,1020.2,0.0
Storm,230.0,Kph,64.5,78.9,63.4,70.3,5.8,13.9,9.7,119.0,53.15,100.0,80.45,"Lightning Without Thunder, Precipitation In Vicinity",0.0,76.8,1020.4,0.0
Storm,230.0,Kph,60.9,80.7,62.2,68.6,4.7,16.1,10.3,112.58,56.09,100.0,81.16,"Lightning Without Thunder, Precipitation In Vicinity",0.0,73.6,1020.9,0.0
Storm,230.0,Kph,61.4,75.8,61.1,67.4,3.4,21.9,10.5,133.33,53.67,100.0,81.66,"Lightning Without Thunder, Precipitation In Vicinity, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Decreasing",0.03,74.0,1022.3,4.55
Storm,230.0,Kph,60.9,75.5,61.1,66.7,4.7,17.2,11.0,130.13,58.86,100.0,83.01,Precipitation In Vicinity,0.0,77.9,1022.8,0.0
Storm,320.0,Kph,53.5,61.8,45.0,56.7,0.0,15.0,9.0,97.83,50.62,80.04,65.49,Light Rain,0.14,58.3,1009.3,25.0
Storm,320.0,Kph,51.5,61.1,48.2,57.4,9.2,21.9,15.4,95.0,58.82,86.34,71.76,"Thunderstorm, Heavy Rain",0.17,77.1,1014.1,8.33
Storm,320.0,Kph,50.5,64.6,50.9,56.1,0.0,16.1,10.4,98.7,75.73,90.86,82.78,"Mist, Thunderstorm, Rain, Light Rain",0.86,72.5,1017.5,29.17
Storm,320.0,Kph,58.5,84.2,64.2,70.6,6.9,13.9,10.3,160.0,66.22,90.79,80.74,"Mist, Smoke Or Haze",0.01,43.3,1011.6,4.17
Storm,170.0,Kph,74.0,80.9,74.6,78.0,15.7,44.7,23.1,196.88,84.7,97.02,89.26,"Lightning Without Thunder, Rain, Rain Showers, Light Rain",2.06,100.0,997.9,25.0
Storm,170.0,Kph,78.9,83.9,76.0,81.0,8.9,13.4,11.7,205.0,81.43,87.7,84.89,"Rain Showers, Sky Coverage Increasing, Smoke Or Haze",2.49,97.5,1006.6,75.0
Storm,155.0,Kph,76.3,90.8,77.9,83.3,2.2,8.0,4.1,154.25,69.69,95.7,84.85,Mist,0.0,36.2,1005.0,0.0
Storm,155.0,Kph,79.5,87.5,77.3,82.4,4.5,14.6,7.5,115.5,71.25,94.85,85.14,"Mist, Rain Showers, Light Rain",0.02,64.8,1002.5,12.5
Storm,155.0,Kph,77.6,81.3,75.3,78.8,5.7,11.3,8.8,269.25,83.64,94.21,89.23,"Rain, Rain Showers",0.11,97.5,1000.0,37.5
Storm,155.0,Kph,76.3,78.9,75.5,77.4,4.5,6.9,5.0,321.25,91.0,95.32,93.85,"Mist, Rain Showers, Light Rain",0.19,96.3,1002.7,50.0
Storm,155.0,Kph,76.7,92.6,77.3,84.9,3.3,6.7,4.5,246.5,61.34,92.41,79.1,Mist,0.0,58.0,1004.9,0.0
Storm,155.0,Kph,76.9,88.2,74.8,81.1,2.2,4.6,3.2,249.0,62.83,94.12,81.86,"Thunderstorm, Light Rain",1.03,75.4,1006.1,50.0
Storm,155.0,Kph,77.5,87.4,76.4,81.6,1.0,4.6,2.8,118.38,67.61,94.84,84.9,"Mist, Rain Showers",0.01,92.5,1006.5,12.5
Storm,155.0,Kph,76.4,88.8,76.3,80.7,1.0,5.8,3.7,139.38,72.28,93.61,86.82,"Mist, Thunderstorm, Light Rain",0.31,79.0,1006.7,12.5
Storm,155.0,Kph,75.7,89.8,76.8,81.9,2.2,6.9,4.5,148.0,68.69,93.89,85.23,"Mist, Thunderstorm",0.04,61.8,1006.5,12.5
Storm,155.0,Kph,79.6,89.3,78.7,84.4,2.2,8.9,4.7,62.0,70.54,93.95,83.55,Mist,0.0,57.6,1006.6,0.0
Storm,155.0,Kph,78.4,90.7,77.0,84.4,2.1,7.9,4.3,66.75,61.64,94.82,79.53,Mist,0.0,43.9,1006.1,0.0
Storm,138.0,Kph,75.3,80.7,76.6,78.2,3.4,19.5,9.4,183.5,82.23,100.0,94.89,"Precipitation In Vicinity, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Increasing",2.3,98.9,1005.3,16.67
Storm,138.0,Kph,77.5,86.1,77.8,82.7,0.0,17.2,9.2,179.3,75.74,94.24,85.93,"Mist, Rain, Rain Showers, Heavy Rain, Sky Coverage Increasing",0.26,79.7,1008.6,12.5
Storm,200.0,Kph,65.2,82.7,66.9,76.2,1.5,26.8,13.9,252.33,58.0,91.99,73.69,"Mist, Rain, Heavy Rain, Light Rain",0.14,73.3,1008.7,20.83
